iter	RMSE
0	172.557587
1	163.4756989
2	155.6286185
3	149.0632569
4	142.7432003
5	136.6842996
6	131.213559
7	126.5842574
8	121.4614882
9	117.0851444
10	112.0587239
11	109.1359049
12	105.8826586
13	102.325398
14	99.43614741
15	96.04842763
16	93.11249361
17	90.3767912
18	88.06437477
19	85.57122609
20	82.89870862
21	80.51212199
22	78.45275764
23	76.04378201
24	74.03919184
25	72.37059198
26	70.63835045
27	69.10230551
28	67.31403887
29	65.46443019
30	63.89441959
31	62.46120363
32	61.03653182
33	59.81178805
34	58.18461296
35	56.79586697
36	55.56720254
37	54.49276045
38	53.32857553
39	52.39721532
40	51.39512171
41	50.35345436
42	49.21357313
43	48.05643828
44	46.99763353
45	46.07827933
46	45.24323306
47	44.39323071
48	43.53009866
49	42.67226274
50	41.99926123
51	41.41480209
52	40.62453107
53	39.91027273
54	39.23850658
55	38.50065247
56	37.87874487
57	37.20155422
58	36.53289606
59	35.84844602
60	35.23865638
61	34.73299377
62	34.25227559
63	33.64157644
64	33.24144398
65	32.71829935
66	32.15079796
67	31.66741281
68	31.1623933
69	30.68011701
70	30.19935686
71	29.67297122
72	29.21161109
73	28.78342384
74	28.40917766
75	28.01031313
76	27.60903272
77	27.21327779
78	26.7766649
79	26.46263537
80	26.12051204
81	25.71470774
82	25.37012797
83	25.14202751
84	24.81893959
85	24.43408514
86	24.06110472
87	23.8127729
88	23.62851568
89	23.427478
90	23.12249191
91	22.93287389
92	22.55568364
93	22.28138665
94	22.00703493
95	21.87581526
96	21.61778156
97	21.30001983
98	21.06300736
99	20.92417891
